,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Laguna,2.0 Dynamique,2008,,83.000 km,Gasolina,140 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-20-dynamique-en-tarragona.htm?id=8034980,8795
1,Renault,Laguna,1.9dci Expression,2002,,237.320 km,Diesel,100 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-19dci-expression-en-zamora.htm?id=8042239,2990
2,Renault,Laguna,2.0t Privilege 165,2003,,194.000 km,Gasolina,165 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-20t-privilege-165-en-vizcaya.htm?id=8064228,2999
3,Renault,Laguna,Coupé 3.0dci V6 Initiale Aut.,2009,05,139.000 km,Diesel,235 CV,automática secuencial,2 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-coupe-30dci-v6-initiale-aut-en-barcelona.htm?id=7945808,9499
4,Renault,Laguna,G.t. 1.9dci Dynamique 130,2007,,250.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-gt-19dci-dynamique-130-en-barcelona.htm?id=8035118,2500
5,Renault,Laguna,G.t. 2.2dci Initiale 150,2009,04,170.000 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-gt-22dci-initiale-150-en-tarragona.htm?id=8091217,6499
6,Renault,Laguna,1.5dci Expression,2008,02,200.000 km,Diesel,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-15dci-expression-en-coruna+a.htm?id=8040399,5500
7,Renault,Laguna,Coupé 2.0dci Emotion Plus,2011,01,170.313 km,Diesel,150 CV,manual,2 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-coupe-20dci-emotion-plus-en-toledo.htm?id=8039856,9900
8,Renault,Laguna,2.0dci Energy Dynamique Tomtom,2013,,195.000 km,Diesel,130 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-20dci-energy-dynamique-tomtom-en-madrid.htm?id=8010994,6950
9,Renault,Laguna,1.9dci Expression 130,2006,,260.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-19dci-expression-130-en-vizcaya.htm?id=7983574,3500
10,Renault,Laguna,2.0dci Expression 150,2009,11,115.000 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-20dci-expression-150-en-madrid.htm?id=7965243,7250
11,Renault,Laguna,Grand Tour 2.2dci Dynamique,2005,,274.000 km,Diesel,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-grand-tour-22dci-dynamique-en-toledo.htm?id=7924183,4900
12,Renault,Laguna,Coupé 2.0dci Emotion Plus,2011,04,165.459 km,Diesel,150 CV,manual,2 puertas,GRIS CASIOPEA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-coupe-20dci-emotion-plus-en-madrid.htm?id=7904467,9340
13,Renault,Laguna,1.8 Rxe,2000,,8.800 km,Gasolina,120 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-18-rxe-en-malaga.htm?id=7893898,9500
14,Renault,Laguna,1.5dci Dynamique R-link 110,2014,,146.000 km,Diesel,110 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-laguna-15dci-dynamique-r-link-110-en-palencia.htm?id=7881228,10775
