,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Aygo,70 X-play,2022,,20.000 km,Gasolina,72 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-alicante.htm?id=8112172,11500
1,Toyota,Aygo,70 X-cite,2019,,68.000 km,Gasolina,72 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-cite-en-palmas+las.htm?id=8025007,8900
2,Toyota,Aygo,70 X-play,2020,,81.000 km,Gasolina,72 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-palmas+las.htm?id=8110916,9995
3,Toyota,Aygo,1.0 Vvt-i X-play Business,2015,11,40.442 km,Gasolina,69 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-play-business-en-toledo.htm?id=8126643,8699
4,Toyota,Aygo,70 X-play,2020,,59.000 km,Gasolina,72 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-alicante.htm?id=8104846,10499
5,Toyota,Aygo,70 X-play,2019,06,45.116 km,Gasolina,72 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-toledo.htm?id=8128896,11099
6,Toyota,Aygo,1.0 Vvt-i X-cite,2017,,45.648 km,Gasolina,69 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-cite-en-malaga.htm?id=8080918,9300
7,Toyota,Aygo,1.0 Vvt-i X-clusiv,2017,,86.000 km,Gasolina,69 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-clusiv-en-madrid.htm?id=8128756,8990
8,Toyota,Aygo,1.0 Vvt-i X-play,2016,,150.000 km,Gasolina,69 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-play-en-malaga.htm?id=8086577,7990
9,Toyota,Aygo,1.0 Vvt-i X-cite,2016,,150.000 km,Gasolina,69 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-cite-en-malaga.htm?id=8086566,7990
10,Toyota,Aygo,1.0 Vvt-i Live,2013,,138.699 km,Gasolina,68 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-live-en-malaga.htm?id=8025743,5990
11,Toyota,Aygo,70 X-play X-shift,2019,,80.975 km,Gasolina,72 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-x-shift-en-malaga.htm?id=7986237,10900
12,Toyota,Aygo,1.0 Vvt-i X-play,2018,,95.707 km,Gasolina,69 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-play-en-barcelona.htm?id=8117098,10990
13,Toyota,Aygo,70 X-play,2021,,62.165 km,Gasolina,72 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-barcelona.htm?id=8117088,12490
14,Toyota,Aygo,1.0 Vvt-i Blue,2010,,70.000 km,Gasolina,68 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-blue-en-madrid.htm?id=8086060,6200
15,Toyota,Aygo,1.0 Vvt-i X-wave,2019,01,84.532 km,Gasolina,69 CV,manual,5 puertas,PLATA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-wave-en-barcelona.htm?id=8083375,11200
16,Toyota,Aygo,1.0 Vvt-i X-play,2018,05,39.000 km,Gasolina,69 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-x-play-en-madrid.htm?id=8078851,10495
17,Toyota,Aygo,70 X-play,2019,09,21.565 km,Gasolina,72 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-sevilla.htm?id=8034191,12750
18,Toyota,Aygo,70 X-play,2019,01,70.600 km,Gasolina,72 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-madrid.htm?id=8030903,12200
19,Toyota,Aygo,1.0 Vvt-i City,2013,,95.686 km,Gasolina,68 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-city-en-pontevedra.htm?id=7964910,6990
20,Toyota,Aygo,70 X-play,2020,,26.500 km,Gasolina,72 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-madrid.htm?id=7869694,11900
21,Toyota,Aygo,70 X-wave,2019,08,55.729 km,Gasolina,72 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-wave-en-madrid.htm?id=7864290,13700
22,Toyota,Aygo,70 X-play,2019,,26.217 km,Gasolina,72 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-70-x-play-en-cadiz.htm?id=7416283,14400
