,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Dacia,Lodgy,1.5dci Laureate 7pl. 81kw,2017,,90.000 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-7pl-81kw-en-sevilla.htm?id=8123063,9500
1,Dacia,Lodgy,1.5dci Ambiance 5pl. 66kw,2013,09,53.536 km,Diesel,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-ambiance-5pl-66kw-en-toledo.htm?id=8043117,9099
2,Dacia,Lodgy,1.6 Ambiance 5pl. 62kw,2014,,66.000 km,Gasolina,85 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-16-ambiance-5pl-62kw-en-alicante.htm?id=8118684,9950
3,Dacia,Lodgy,1.6 Sl Nómada 7pl. 75kw,2018,11,45.348 km,Gasolina,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-16-sl-nomada-7pl-75kw-en-toledo.htm?id=8101756,14299
4,Dacia,Lodgy,1.5 Dci Serie Limitada Aniversario Blue 5pl. 85kw,2020,10,14.387 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15-dci-serie-limitada-aniversario-blue-5pl-85kw-en-toledo.htm?id=8097660,16699
5,Dacia,Lodgy,1.6 Glp Serie Limitada 5pl. 75kw,2019,,163.650 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-16-glp-serie-limitada-5pl-75kw-en-toledo.htm?id=8072742,10900
6,Dacia,Lodgy,1.5dci Ambiance 7pl. 81kw,2013,,96.000 km,Diesel,110 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-ambiance-7pl-81kw-en-vizcaya.htm?id=8064780,9999
7,Dacia,Lodgy,1.2 Tce Laureate 5pl. 115,2017,12,74.753 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-12-tce-laureate-5pl-115-en-toledo.htm?id=8056950,11599
8,Dacia,Lodgy,1.2 Tce Ambiance 7pl.,2013,,92.187 km,Gasolina,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-12-tce-ambiance-7pl-en-malaga.htm?id=8056349,9990
9,Dacia,Lodgy,1.5dci Ambiance 5pl. 66kw,2012,06,43.632 km,Diesel,90 CV,manual,5 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-ambiance-5pl-66kw-en-toledo.htm?id=8044557,9299
10,Dacia,Lodgy,1.5dci Stepway 5pl. 81kw,2019,05,60.700 km,Diesel,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-stepway-5pl-81kw-en-barcelona.htm?id=7930448,15490
11,Dacia,Lodgy,1.5dci Laureate 5pl. 81kw,2017,09,62.234 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-5pl-81kw-en-granada.htm?id=7920298,13900
12,Dacia,Lodgy,1.5dci Stepway 5pl. 81kw,2017,,66.000 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-stepway-5pl-81kw-en-madrid.htm?id=8098280,13900
13,Dacia,Lodgy,1.2 Tce Laureate 7pl. 115,2017,,59.000 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-12-tce-laureate-7pl-115-en-tenerife.htm?id=8035315,12990
14,Dacia,Lodgy,1.5dci Stepway 5pl. 66kw,2016,05,99.698 km,Diesel,90 CV,manual,5 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-stepway-5pl-66kw-en-asturias.htm?id=8028449,16900
15,Dacia,Lodgy,1.5 Dci Stepway Comfort Blue 7pl. 85kw,2022,04,28.000 km,Diesel,115 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15-dci-stepway-comfort-blue-7pl-85kw-en-madrid.htm?id=8012192,18990
16,Dacia,Lodgy,Tce Gpf Serie Limitada Xplore 5pl. 96kw,2019,07,61.000 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-tce-gpf-serie-limitada-xplore-5pl-96kw-en-barcelona.htm?id=7989287,17500
17,Dacia,Lodgy,1.5dci Sl Trotamundos 7pl. 81kw,2018,,150.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-sl-trotamundos-7pl-81kw-en-granada.htm?id=7965813,12900
18,Dacia,Lodgy,Tce Gpf Comfort 7pl. 96kw,2019,06,72.054 km,Gasolina,130 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-tce-gpf-comfort-7pl-96kw-en-palmas+las.htm?id=7962678,15995
19,Dacia,Lodgy,1.6 Essential 5pl. 75kw,2014,04,131.600 km,Gasolina,102 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-16-essential-5pl-75kw-en-madrid.htm?id=7901107,9950
20,Dacia,Lodgy,1.5dci Laureate 5pl. 81kw,2013,05,118.611 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-5pl-81kw-en-madrid.htm?id=7898357,8900
21,Dacia,Lodgy,1.2 Tce Laureate 5pl. 115,2017,,80.000 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-12-tce-laureate-5pl-115-en-cadiz.htm?id=7835970,12990
22,Dacia,Lodgy,1.5dci Sl Nómada 7pl. 81kw,2019,,167.379 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-sl-nomada-7pl-81kw-en-sevilla.htm?id=7754405,13600
23,Dacia,Lodgy,1.5dci Stepway 5pl. 81kw,2017,,112.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-stepway-5pl-81kw-en-valencia.htm?id=8048642,12900
24,Dacia,Lodgy,1.2 Tce Laureate 7pl. 115,2017,05,80.332 km,Gasolina,115 CV,manual,5 puertas,Azul Cosmos (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-12-tce-laureate-7pl-115-en-madrid.htm?id=8017148,12900
25,Dacia,Lodgy,1.5blue Dci Comfort 5pl. 70kw,2020,,216.089 km,Diesel,95 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15blue-dci-comfort-5pl-70kw-en-malaga.htm?id=8015620,11500
26,Dacia,Lodgy,Tce Gpf Serie Limitada Xplore 7pl. 96kw,2019,05,49.000 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-tce-gpf-serie-limitada-xplore-7pl-96kw-en-barcelona.htm?id=7971041,16900
27,Dacia,Lodgy,1.5dci Laureate 7pl. 66kw,2014,,140.000 km,Diesel,90 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-7pl-66kw-en-madrid.htm?id=8127873,5000
28,Dacia,Lodgy,1.5dci Laureate 7pl. 81kw,2014,,139.000 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-7pl-81kw-en-madrid.htm?id=8122743,7500
29,Dacia,Lodgy,1.5dci Laureate 5pl. 81kw,2016,,68.000 km,Diesel,110 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-5pl-81kw-en-barcelona.htm?id=7828891,11100
30,Dacia,Lodgy,1.5dci Laureate 5pl. 81kw,2013,,183.000 km,Diesel,110 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-5pl-81kw-en-asturias.htm?id=7763596,7500
31,Dacia,Lodgy,1.5 Dci Serie Limitada Aniversario Blue 7pl. 85kw,2021,,35.000 km,Diesel,115 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15-dci-serie-limitada-aniversario-blue-7pl-85kw-en-illes+balears.htm?id=7945491,18000
32,Dacia,Lodgy,1.5dci Laureate 7pl. 81kw,2017,,58.017 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-laureate-7pl-81kw-en-malaga.htm?id=7797016,11800
33,Dacia,Lodgy,1.5dci Ambiance 5pl. 66kw,2013,,125.000 km,Diesel,90 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-ambiance-5pl-66kw-en-cadiz.htm?id=7709356,7200
34,Dacia,Lodgy,1.6 Sl Nómada 7pl. 75kw,2018,,96.000 km,Gasolina,102 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-16-sl-nomada-7pl-75kw-en-tarragona.htm?id=8052392,12000
35,Dacia,Lodgy,1.5dci Ambiance 7pl. 66kw,2013,,370.000 km,Diesel,90 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-15dci-ambiance-7pl-66kw-en-toledo.htm?id=7874399,4000
36,Dacia,Lodgy,1.6 Glp Laureate 5pl. 75kw,2018,,212.200 km,Gasolina,102 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-dacia-lodgy-16-glp-laureate-5pl-75kw-en-madrid.htm?id=7735420,8500
